0000005913	9540
0000006020	5160
0000006591	999
0000007744	6560
0000008190011	5083
0000008352	1060
0000010150	357
0000010183	188
0000010194	188
0000010706	198
0000011163	1580
0000011270	1049
0000011362	899
0000011373	770
0000011421	698
0000011524	3049
0000013506	799
0000013764	4368
0000017021	1176
0000017054	513
0000017076	513
0000017286	1990
0000017345	4990
0000017463	79
0000018911	1079
0000019250	6300
0000020801	161
0000021615	12564
0000021733	1908
0000021744	1116
0000022525	1790
0000023122	8990
0000023516	2980
0000025421	2714
0000025675	5960
0000026622	1980
0000028280	2997
0000028383	1198
0000029201	3490
0000029934	1200
0000030365	2081
0000030822	1799
0000032616	18900
0000033342	2980
0000033850040	599
0000035033	699
0000035195	698
0000035210	349
0000035663	333
0000035674	333
0000035685	333
0000035696	666
0000035755	333
0000035766	666
0000035792	333
0000035862	333
0000035873	333
0000036050	333
0000036223	2592
0000036396	2970
0000036702	3960
0000037413	8640
0000037516	990
0000037586	2180
0000037623	1398
0000037656	1990
0000039933	990
0000040401	2760
0000040596	290
0000040681	1726
0000040740	799
0000040843	578
0000040990014	229
0000041075	85
0000041462	1050
0000041750004	700
0000042221	450
0000042243	749
0000042431	320
0000042453	390
0000042512	1990
0000042523	590
0000042630	710
0000043551	890
0000043606	590
0000043643	1380
0000043923	356
0000043971	136
0000044531	999
0000045710	1744
0000046093	1990
0000046896	1350
0000047924	260
0000048123	323
0000048274	499
0000049770	2997
0000049781	899
0000049792	2897
0000049825	999
0000049840	999
0000050083	1138
0000050105	899
0000050245	399
0000050396	233
0000050621	134
0000051796	1850
0000051822	3060
0000052102	7188
0000052360	1390
0000052872	1476
0000053056	5780
0000053605	199
0000053675	790
0000054010003	5390
0000054025	8970
0000054036	7400
0000054600	660
0000054666	1134
0000054876	7670
0000054924	9360
0000054961	2290
0000055462	3890
0000055473	8080
0000055543	3690
0000055554	4390
0000055600016	3290
0000056486	864
0000056560	890
0000057761	624
0000058052	688
0000058306	550
0000058435	3480
0000058450	3540
0000058575	479
0000058741	298
0000058774	280
0000058785	169
0000058800	199
0000058995	480
0000059010	190
0000059021	195
0000059076	3760
0000059183	990
0000059205	7722
0000059566	4980
0000059835	22999
0000060620	499
0000060710031	2999
0000061412	90
0000061902	468
0000061913	936
0000061924	936
0000061950	612
0000061972	799
0000061994	2194
0000062053	1573
0000062090	2278
